dataset,subgroup,n_runs,tpr_R_mean,tpr_R_std,tpr_S1_mean,tpr_S1_std,tpr_S2_mean,tpr_S2_std,tpr_D_S1_mean,tpr_D_S1_std,tpr_D_S2_mean,tpr_D_S2_std,tnr_defined,tnr_R_mean,tnr_R_std,tnr_S1_mean,tnr_S1_std,tnr_S2_mean,tnr_S2_std,tnr_D_S1_mean,tnr_D_S1_std,tnr_D_S2_mean,tnr_D_S2_std
ckd,outlier,3,0.03,0.0878,0.0708,0.0889,0.0692,0.0541,0.0408,0.0796,0.0392,0.0919,False,,,,,,,,,,
ckd,age>=65,3,0.0071,0.0441,-0.0391,0.0256,-0.0284,0.0315,-0.0462,0.0317,-0.0356,0.0681,True,-0.0258,0.0089,0.0055,0.023,0.0055,0.023,0.0313,0.0286,0.0313,0.0286
ckd,htn==yes,3,-0.041,0.0455,-0.0896,0.012,-0.0728,0.0197,-0.0486,0.0337,-0.0318,0.0486,False,,,,,,,,,,
ckd,dm==yes,3,-0.0412,0.024,-0.0784,0.0508,-0.0537,0.0209,-0.0371,0.0276,-0.0125,0.0405,False,,,,,,,,,,
ckd,mp0,3,-0.0537,0.0125,-0.0505,0.0191,-0.0312,0.029,0.0032,0.0187,0.0225,0.0195,True,-0.0456,0.029,-0.0228,0.01,-0.0476,0.033,0.0228,0.029,-0.0021,0.0115
hepatitis,outlier,5,-0.1012,0.0462,-0.2207,0.1776,-0.1908,0.2289,-0.1195,0.1789,-0.0896,0.2652,True,-0.1008,0.0197,0.0876,0.3053,-0.0107,0.1982,0.1884,0.2933,0.0901,0.2037
hepatitis,age>=50,5,0.0727,0.1374,0.0,0.1287,0.1706,0.1282,-0.0727,0.2121,0.0978,0.2344,True,0.0771,0.0834,0.0996,0.1075,0.0702,0.0709,0.0224,0.1316,-0.0069,0.1225
hepatitis,mp0,5,-0.2494,0.1117,0.0518,0.2413,-0.0494,0.2119,0.3012,0.1984,0.2,0.2396,True,0.005,0.0323,0.0385,0.0245,0.026,0.0233,0.0335,0.0261,0.0209,0.0295
